NAME,B01001_001E,B19013_001E,B25001_001E,B25003_001E,B25003_002E,B25077_001E,B25034_001E,B25034_006E,B25034_011E,B08303_001E,B08303_012E,B08303_013E,B08201_001E,B08201_002E,B17001_001E,B17001_002E,state,county,tract,population_total,population_total_moe,median_household_income,median_household_income_moe,housing_units_total,housing_units_total_moe,occupied_units_total,occupied_units_total_moe,owner_occupied_units,owner_occupied_units_moe,median_home_value,median_home_value_moe,housing_built_total,housing_built_total_moe,housing_built_1980_1989,housing_built_1980_1989_moe,housing_built_1979_earlier,housing_built_1979_earlier_moe,workers_commute_total,workers_commute_total_moe,workers_commute_60_89,workers_commute_60_89_moe,workers_commute_90_plus,workers_commute_90_plus_moe,households_vehicle_total,households_vehicle_total_moe,households_no_vehicle,households_no_vehicle_moe,poverty_universe,poverty_universe_moe,poverty_count,poverty_count_moe,GEOID,homeownership_rate,long_commute_share,poverty_rate,no_vehicle_share,old_housing_share,income_per_housing_unit,commute_stress_index,housing_risk_proxy,income_moe_ratio,poor_quality_income,opportunity_score,risk_score
Census Tract 101; Cook County; Illinois,4198,74145,2905,2284,688,340700,2905,0,1603,1955,311,0,2284,695,4097,545,17,031,010100,4198,4198,74145,74145,2905,2905,2284,2284,688,688,340700,340700,2905,2905,0,0,1603,1603,1955,1955,311,311,0,0,2284,2284,695,695,4097,4097,545,545,17031010100,0.30122591943957966,0.15907928388746803,0.13302416402245545,0.3042907180385289,0.5518072289156627,25.523235800344235,0.04840634951917263,0.3855885890321356,1.0,True,0.7074744469824973,0.3776600154819513
Census Tract 8150; Cook County; Illinois,4113,82648,1423,1393,592,329700,1423,0,867,2052,126,20,1393,115,4113,259,17,031,815000,4113,4113,82648,82648,1423,1423,1393,1393,592,592,329700,329700,1423,1423,0,0,867,867,2052,2052,126,126,20,20,1393,1393,115,115,4113,4113,259,259,17031815000,0.42498205312275666,0.07115009746588694,0.06297106734743496,0.08255563531945441,0.6092761770906535,58.08011243851019,0.005873841499337399,0.35034473643188335,1.0,True,0.7800714191622946,0.2537928259304087
Census Tract 8151; Cook County; Illinois,4165,86262,1549,1435,925,289500,1549,11,1096,1901,124,0,1435,53,4156,645,17,031,815100,4165,4165,86262,86262,1549,1549,1435,1435,925,925,289500,289500,1549,1549,11,11,1096,1096,1901,1901,124,124,0,0,1435,1435,53,53,4156,4156,645,645,17031815100,0.6445993031358885,0.06522882693319305,0.1551973051010587,0.036933797909407665,0.7146546158812137,55.68883150419626,0.00240914831181828,0.25398874850133724,1.0,True,0.812018375583525,0.29636153216915023
Census Tract 8152; Cook County; Illinois,6647,69775,2626,2472,1611,256500,2626,35,1649,3117,379,110,2472,312,6647,429,17,031,815200,6647,6647,69775,69775,2626,2626,2472,2472,1611,1611,256500,256500,2626,2626,35,35,1649,1649,3117,3117,379,379,110,110,2472,2472,312,312,6647,6647,429,429,17031815200,0.6516990291262136,0.15688161693936478,0.0645403941627802,0.1262135922330097,0.6412795125666413,26.57083015993907,0.019800592429240215,0.22335827682842968,1.0,True,0.8549352177358703,0.32105666755609613
Census Tract 8153; Cook County; Illinois,3616,102361,1484,1391,1073,282500,1484,0,963,1603,161,8,1391,45,3616,191,17,031,815300,3616,3616,102361,102361,1484,1484,1391,1391,1073,1073,282500,282500,1484,1484,0,0,963,963,1603,1603,161,161,8,8,1391,1391,45,45,3616,3616,191,191,17031815300,0.7713874910136592,0.10542732376793512,0.05282079646017699,0.03235082674335011,0.648921832884097,68.97641509433963,0.0034106610852315464,0.14835164835164835,1.0,True,0.9000908263014008,0.26272997820117727
Census Tract 8154; Cook County; Illinois,5476,62592,2545,2485,1231,315100,2545,161,1184,2576,54,140,2485,178,5387,657,17,031,815400,5476,5476,62592,62592,2545,2545,2485,2485,1231,1231,315100,315100,2545,2545,161,161,1184,1184,2576,2576,54,54,140,140,2485,2485,178,178,5387,5387,657,657,17031815400,0.49537223340040243,0.07531055900621118,0.12196027473547429,0.0716297786720322,0.5284872298624754,24.59410609037328,0.005394478673281928,0.26668933048190907,1.0,True,0.7771339244881307,0.24967829045488085
Census Tract 8155; Cook County; Illinois,7457,88244,2539,2174,1876,298600,2539,146,885,2867,48,27,2174,149,7457,1056,17,031,815500,7457,7457,88244,88244,2539,2539,2174,2174,1876,1876,298600,298600,2539,2539,146,146,885,885,2867,2867,48,48,27,27,2174,2174,149,149,7457,7457,1056,1056,17031815500,0.8629254829806807,0.026159748866410884,0.14161190827410486,0.06853725850965961,0.40606538007089404,34.75541551792044,0.0017929174706049777,0.05566121585148411,1.0,True,0.8908726570279103,0.19609172386699839
Census Tract 8156; Cook County; Illinois,5363,76667,2292,2212,1562,296700,2292,160,284,2115,82,133,2212,209,5301,317,17,031,815600,5363,5363,76667,76667,2292,2292,2212,2212,1562,1562,296700,296700,2292,2292,160,160,284,284,2115,2115,82,82,133,133,2212,2212,209,209,5301,5301,317,317,17031815600,0.7061482820976492,0.1016548463356974,0.05980003772873043,0.09448462929475587,0.193717277486911,33.44982547993019,0.009604820472043741,0.05692415477689518,1.0,True,0.8752091759746149,0.15636996968452768
Census Tract 8157.01; Cook County; Illinois,3891,186667,1606,1384,1288,510700,1606,6,936,1201,156,15,1384,41,3891,249,17,031,815701,3891,3891,186667,186667,1606,1606,1384,1384,1288,1288,510700,510700,1606,1606,6,6,936,936,1201,1201,156,156,15,15,1384,1384,41,41,3891,3891,249,249,17031815701,0.930635838150289,0.14238134887593673,0.06399383191981496,0.029624277456647398,0.5865504358655044,116.23100871731009,0.004217944583752461,0.040685579366393346,1.0,True,0.9482171017070181,0.2670783991228083
Census Tract 8157.02; Cook County; Illinois,5047,147694,2182,2019,1579,489400,2182,23,1452,2020,138,105,2019,143,5047,55,17,031,815702,5047,5047,147694,147694,2182,2182,2019,2019,1579,1579,489400,489400,2182,2182,23,23,1452,1452,2020,2020,138,138,105,105,2019,2019,143,143,5047,5047,55,55,17031815702,0.7820703318474492,0.12029702970297029,0.01089756290865861,0.070827142149579,0.6759853345554537,67.68744271310725,0.008520294822944403,0.14731725963566103,1.0,True,0.9224302409673605,0.2761979850349306
Census Tract 8158; Cook County; Illinois,1941,113958,779,733,590,402000,779,11,280,653,78,0,733,21,1913,113,17,031,815800,1941,1941,113958,113958,779,779,733,733,590,590,402000,402000,779,779,11,11,280,280,653,653,78,78,0,0,733,733,21,21,1913,1913,113,113,17031815800,0.8049113233287858,0.11944869831546708,0.05906952430737062,0.0286493860845839,0.3735558408215661,146.2875481386393,0.003422131875340803,0.07287651464868207,1.0,True,0.9084756486949246,0.194073081445082
Census Tract 8159; Cook County; Illinois,4746,76875,3004,2785,1555,218200,3004,91,878,2189,121,0,2785,237,4707,622,17,031,815900,4746,4746,76875,76875,3004,3004,2785,2785,1555,1555,218200,218200,3004,3004,91,91,878,878,2189,2189,121,121,0,0,2785,2785,237,237,4707,4707,622,622,17031815900,0.5583482944344704,0.05527638190954774,0.13214361589122584,0.0850987432675045,0.3225699067909454,25.590878828229027,0.004703950632877133,0.14246354949833492,1.0,True,0.7935772134894616,0.189850760209892
Census Tract 8160; Cook County; Illinois,3164,90644,1826,1679,789,384400,1826,49,1184,1260,50,7,1679,172,3164,304,17,031,816000,3164,3164,90644,90644,1826,1826,1679,1679,789,789,384400,384400,1826,1826,49,49,1184,1184,1260,1260,50,50,7,7,1679,1679,172,172,3164,3164,304,304,17031816000,0.4699225729600953,0.04523809523809524,0.09608091024020228,0.10244192972007148,0.6752464403066812,49.640744797371305,0.0046342777730508525,0.3579328956956202,1.0,True,0.780242754614692,0.276473429532749
Census Tract 8161; Cook County; Illinois,6033,70225,2819,2621,1399,311300,2819,13,1591,2160,64,95,2621,420,5774,653,17,031,816100,6033,6033,70225,70225,2819,2819,2621,2621,1399,1399,311300,311300,2819,2819,13,13,1591,1591,2160,2160,64,64,95,95,2621,2621,420,420,5774,5774,653,653,17031816100,0.5337657382678367,0.07361111111111111,0.11309317630758572,0.16024418161007248,0.5689960979070593,24.9113160695282,0.011795752257408114,0.2652854756361795,1.0,True,0.7939025779330277,0.2856990171369354
Census Tract 8162; Cook County; Illinois,4212,75735,1852,1852,1405,320400,1852,0,133,1718,113,23,1852,234,4136,226,17,031,816200,4212,4212,75735,75735,1852,1852,1852,1852,1405,1405,320400,320400,1852,1852,0,0,133,133,1718,1718,113,113,23,23,1852,1852,234,234,4136,4136,226,226,17031816200,0.7586393088552916,0.07916181606519208,0.054642166344294,0.1263498920086393,0.07181425485961124,40.89362850971922,0.010002086911044787,0.017333138186958,1.0,True,0.8950132713740432,0.11947848374302378
Census Tract 8163; Cook County; Illinois,4670,66331,1670,1577,1028,277800,1670,64,260,2205,106,30,1577,203,4659,864,17,031,816300,4670,4670,66331,66331,1670,1670,1577,1577,1028,1028,277800,277800,1670,1670,64,64,260,260,2205,2205,106,106,30,30,1577,1577,203,203,4659,4659,864,864,17031816300,0.6518706404565631,0.06167800453514739,0.1854475209272376,0.12872542802790107,0.19401197604790418,39.719161676646706,0.007939527533693671,0.06754126496531351,1.0,True,0.8008987117533866,0.18925712481271129
Census Tract 8164.01; Cook County; Illinois,3838,92537,1438,1134,527,306800,1438,33,879,1740,104,66,1134,115,3838,194,17,031,816401,3838,3838,92537,92537,1438,1438,1134,1134,527,527,306800,306800,1438,1438,33,33,879,879,1740,1740,104,104,66,66,1134,1134,115,115,3838,3838,194,194,17031816401,0.46472663139329806,0.09770114942528736,0.05054715997915581,0.10141093474426807,0.6342141863699583,64.35118219749653,0.0099079648888078,0.3394779639564062,1.0,True,0.7988828195851786,0.27619922679782677
Census Tract 8164.02; Cook County; Illinois,5174,59792,1592,1427,692,243000,1592,0,778,2126,66,0,1427,110,5147,482,17,031,816402,5174,5174,59792,59792,1592,1592,1427,1427,692,692,243000,243000,1592,1592,0,0,778,778,2126,2126,66,66,0,0,1427,1427,110,110,5147,5147,482,482,17031816402,0.4849334267694464,0.031044214487300093,0.0936467845346804,0.07708479327259986,0.4886934673366834,37.55778894472362,0.0023930368560637775,0.251709669581263,1.0,True,0.7863199427262941,0.2082655385702483
Census Tract 8165; Cook County; Illinois,4052,63328,1468,1460,1044,-666666666,1468,212,176,2072,98,70,1460,113,4052,463,17,031,816500,4052,4052,63328,63328,1468,1468,1460,1460,1044,1044,-666666666,-666666666,1468,1468,212,212,176,176,2072,2072,98,98,70,70,1460,1460,113,113,4052,4052,463,463,17031816500,0.7150684931506849,0.08108108108108109,0.11426456071076012,0.0773972602739726,0.26430517711171664,43.13896457765667,0.006275453535727509,0.07530887238251653,1.0,True,0.8538093229926664,0.17830214698079652
Census Tract 8166; Cook County; Illinois,4222,66120,1237,1117,504,243200,1237,156,133,1762,43,15,1117,53,4222,523,17,031,816600,4222,4222,66120,66120,1237,1237,1117,1117,504,504,243200,243200,1237,1237,156,156,133,133,1762,1762,43,43,15,15,1117,1117,53,53,4222,4222,523,523,17031816600,0.4512085944494181,0.032917139614074914,0.12387494078635718,0.047448522829006266,0.23362974939369444,53.45189975747777,0.00156186965044402,0.1282139985481958,1.0,True,0.761557882708452,0.1387483888146491
Census Tract 8167; Cook County; Illinois,2697,68177,1028,974,632,242600,1028,0,121,1230,101,123,974,85,2697,266,17,031,816700,2697,2697,68177,68177,1028,1028,974,974,632,632,242600,242600,1028,1028,0,0,121,121,1230,1230,101,101,123,123,974,974,85,85,2697,2697,266,266,17031816700,0.648870636550308,0.1821138211382114,0.09862810530218762,0.08726899383983573,0.11770428015564202,66.32003891050584,0.015892889935059516,0.0413294289663548,1.0,True,0.8387413039726358,0.18694673867347
Census Tract 8168; Cook County; Illinois,5534,85521,1874,1818,1467,246900,1874,0,319,2124,155,57,1818,137,5416,1019,17,031,816800,5534,5534,85521,85521,1874,1874,1818,1818,1467,1467,246900,246900,1874,1874,0,0,319,319,2124,2124,155,155,57,57,1818,1818,137,137,5416,5416,1019,1019,17031816800,0.806930693069307,0.09981167608286252,0.18814623338257017,0.07535753575357536,0.17022411953041622,45.63553895410886,0.0075215619490385955,0.032865052780624904,1.0,True,0.8513876249269909,0.1857812964804065
Census Tract 8169; Cook County; Illinois,5630,103816,1770,1664,1536,225900,1770,58,187,2756,346,11,1664,38,5630,436,17,031,816900,5630,5630,103816,103816,1770,1770,1664,1664,1536,1536,225900,225900,1770,1770,58,58,187,187,2756,2756,346,346,11,11,1664,1664,38,38,5630,5630,436,436,17031816900,0.9230769230769231,0.1295355587808418,0.07744227353463588,0.02283653846153846,0.1384180790960452,58.653107344632765,0.0029581437702355697,0.010647544545849624,1.0,True,0.9396394274986203,0.13800300463121823
Census Tract 8170; Cook County; Illinois,4975,78549,1709,1618,1222,238900,1709,23,291,2384,116,37,1618,88,4811,331,17,031,817000,4975,4975,78549,78549,1709,1709,1618,1618,1222,1222,238900,238900,1709,1709,23,23,291,291,2384,2384,116,116,37,37,1618,1618,88,88,4811,4811,331,331,17031817000,0.7552533992583437,0.06417785234899329,0.06880066514238205,0.054388133498145856,0.18373317729666472,45.96196606202457,0.0034905136011813406,0.044968070586822756,1.0,True,0.887551746775093,0.12455608339067722
Census Tract 8171.01; Cook County; Illinois,4884,71134,1792,1647,1170,232200,1792,107,200,1830,157,0,1647,173,4884,1045,17,031,817101,4884,4884,71134,71134,1792,1792,1647,1647,1170,1170,232200,232200,1792,1792,107,107,200,200,1830,1830,157,157,0,0,1647,1647,173,173,4884,4884,1045,1045,17031817101,0.7103825136612022,0.08579234972677596,0.21396396396396397,0.1050394656952034,0.17131696428571427,39.6953125,0.009011582576036577,0.04961638856362217,1.0,True,0.807647252187917,0.1971679329223711
Census Tract 8171.02; Cook County; Illinois,2767,71621,1069,1019,737,226900,1069,0,411,984,101,36,1019,115,2767,299,17,031,817102,2767,2767,71621,71621,1069,1069,1019,1019,737,737,226900,226900,1069,1069,0,0,411,411,984,984,101,101,36,36,1019,1019,115,115,2767,2767,299,299,17031817102,0.7232580961727183,0.13922764227642276,0.1080592699674738,0.11285574092247301,0.3844714686623012,66.99812909260991,0.015712638725994717,0.1063993662048763,1.0,True,0.8593194872248557,0.2507998045313313
Census Tract 8172; Cook County; Illinois,4387,63067,1676,1483,726,228200,1676,0,933,1564,111,119,1483,97,4387,597,17,031,817200,4387,4387,63067,63067,1676,1676,1483,1483,726,726,228200,228200,1676,1676,0,0,933,933,1564,1564,111,111,119,119,1483,1483,97,97,4387,4387,597,597,17031817200,0.48954821308159135,0.14705882352941177,0.136083884203328,0.06540795684423466,0.5566825775656324,37.62947494033413,0.009618817182975685,0.2841596164647227,1.0,True,0.7688741362032129,0.29687315741688475
Census Tract 8173; Cook County; Illinois,2687,66875,928,779,444,183300,928,22,716,1120,228,64,779,100,2686,366,17,031,817300,2687,2687,66875,66875,928,928,779,779,444,444,183300,183300,928,928,22,22,716,716,1120,1120,228,228,64,64,779,779,100,100,2686,2686,366,366,17031817300,0.5699614890885751,0.26071428571428573,0.13626209977661952,0.12836970474967907,0.7952586206896551,72.06357758620689,0.03346781588116633,0.34199183303085295,1.0,True,0.7956007339194282,0.44169183535429146
Census Tract 8174; Cook County; Illinois,3143,99018,1104,968,747,265900,1104,77,655,1216,86,80,968,56,3143,417,17,031,817400,3143,3143,99018,99018,1104,1104,968,968,747,747,265900,265900,1104,1104,77,77,655,655,1216,1216,86,86,80,80,968,968,56,56,3143,3143,417,417,17031817400,0.7716942148760331,0.13651315789473684,0.13267578746420616,0.05785123966942149,0.6630434782608695,89.69021739130434,0.007897455415397998,0.15137666187567372,1.0,True,0.8644655022785578,0.3175429406873113
Census Tract 8175; Cook County; Illinois,3872,49985,1458,1277,466,230000,1458,39,837,1308,37,145,1277,272,3872,745,17,031,817500,3872,3872,49985,49985,1458,1458,1277,1277,466,466,230000,230000,1458,1458,39,39,837,837,1308,1308,37,37,145,145,1277,1277,272,272,3872,3872,745,745,17031817500,0.36491777603758807,0.13914373088685014,0.19240702479338842,0.21299921691464369,0.6008230452674898,34.28326474622771,0.029637505717481,0.38157203579634624,1.0,True,0.7021260120503662,0.371627865884974
Census Tract 8176; Cook County; Illinois,4076,52317,1305,1270,770,225500,1305,83,744,1118,45,55,1270,201,4026,988,17,031,817600,4076,4076,52317,52317,1305,1305,1270,1270,770,770,225500,225500,1305,1305,83,83,744,744,1118,1118,45,45,55,55,1270,1270,201,201,4026,4026,988,988,17031817600,0.6062992125984252,0.08944543828264759,0.24540486835568803,0.15826771653543306,0.6337164750957854,40.08965517241379,0.014156325271505642,0.24949467523456118,1.0,True,0.7588772366085582,0.35556665272789045
Census Tract 8177; Cook County; Illinois,5036,87970,1768,1636,1292,230700,1768,10,1182,1764,152,57,1636,35,5036,474,17,031,817700,5036,5036,87970,87970,1768,1768,1636,1636,1292,1292,230700,230700,1768,1768,10,10,1182,1182,1764,1764,152,152,57,57,1636,1636,35,35,5036,5036,474,474,17031817700,0.7897310513447433,0.11848072562358276,0.09412231930103257,0.021393643031784843,0.6742081447963801,49.75678733031674,0.0025347343501377732,0.14176503778114594,1.0,True,0.8877204876981116,0.286759184246299
Census Tract 8179; Cook County; Illinois,5807,61250,2492,2370,1351,259000,2492,38,574,2537,101,37,2370,252,5781,572,17,031,817900,5807,5807,61250,61250,2492,2492,2370,2370,1351,1351,259000,259000,2492,2492,38,38,574,574,2537,2537,101,101,37,37,2370,2370,252,252,5781,5781,572,572,17031817900,0.570042194092827,0.05439495467087111,0.09894481923542639,0.10632911392405063,0.24558587479935795,24.578651685393258,0.005783767332092625,0.10559156389052564,1.0,True,0.8123200013439272,0.16366137613823312
Census Tract 8180; Cook County; Illinois,4180,65641,1831,1749,1038,272900,1831,57,227,1507,115,28,1749,193,4169,477,17,031,818000,4180,4180,65641,65641,1831,1831,1749,1749,1038,1038,272900,272900,1831,1831,57,57,227,227,1507,1507,115,115,28,28,1749,1749,193,193,4169,4169,477,477,17031818000,0.5934819897084048,0.0948905109489051,0.11441592708083473,0.11034877072612921,0.15510649918077554,35.849808847624246,0.010471051236785983,0.0630535854302638,1.0,True,0.8132139255931229,0.16560398198693285
Census Tract 8181; Cook County; Illinois,2167,112292,927,897,858,331800,927,0,25,1021,150,8,897,24,2167,25,17,031,818100,2167,2167,112292,112292,927,927,897,897,858,858,331800,331800,927,927,0,0,25,25,1021,1021,150,150,8,8,897,897,24,24,2167,2167,25,25,17031818100,0.9565217391304348,0.15475024485798236,0.011536686663590217,0.026755852842809364,0.02696871628910464,121.13484358144552,0.004140474778808892,0.0011725528821349836,1.0,True,0.9802770815618014,0.09896961847094103
Census Tract 8182; Cook County; Illinois,4621,110625,1901,1865,1514,299900,1901,46,200,2349,74,23,1865,121,4607,404,17,031,818200,4621,4621,110625,110625,1901,1901,1865,1865,1514,1514,299900,299900,1901,1901,46,46,200,200,2349,2349,74,74,23,23,1865,1865,121,121,4607,4607,404,404,17031818200,0.8117962466487936,0.04129416773094934,0.08769264163229867,0.0648793565683646,0.12940557601262492,58.193056286165174,0.002679139032410118,0.024354615110150857,1.0,True,0.8979634149241096,0.1074676486368182
Census Tract 8183; Cook County; Illinois,6096,73929,2200,2200,1637,240600,2200,224,137,3088,152,182,2200,269,5936,352,17,031,818300,6096,6096,73929,73929,2200,2200,2200,2200,1637,1637,240600,240600,2200,2200,224,224,137,137,3088,3088,152,152,182,182,2200,2200,269,269,5936,5936,352,352,17031818300,0.7440909090909091,0.10816062176165803,0.05929919137466307,0.12227272727272727,0.1640909090909091,33.60409090909091,0.013225094206311822,0.04199235537190082,1.0,True,0.888079420772366,0.16022926306321034
Census Tract 8184.01; Cook County; Illinois,3430,86827,1338,1305,1076,301400,1338,51,149,1444,79,76,1305,125,3361,197,17,031,818401,3430,3430,86827,86827,1338,1338,1305,1305,1076,1076,301400,301400,1338,1338,51,51,149,149,1444,1444,79,79,76,76,1305,1305,125,125,3361,3361,197,197,17031818401,0.8245210727969349,0.10734072022160665,0.058613507884558165,0.09578544061302682,0.14947683109118087,64.89312406576981,0.010281678182146231,0.02623003396159419,1.0,True,0.9152026861680657,0.1469675069477869
Census Tract 8184.02; Cook County; Illinois,3368,72112,1610,1586,1154,315300,1610,149,188,1269,123,17,1586,270,3368,225,17,031,818402,3368,3368,72112,72112,1610,1610,1586,1586,1154,1154,315300,315300,1610,1610,149,149,188,188,1269,1269,123,123,17,17,1586,1586,270,270,3368,3368,225,225,17031818402,0.7276166456494325,0.11032308904649331,0.06680522565320665,0.17023959646910466,0.2093167701863354,44.79006211180124,0.01878135816050012,0.05701440398518089,1.0,True,0.8792290072069974,0.19191968526618602
Census Tract 8185; Cook County; Illinois,5068,86598,2509,2326,2189,347000,2509,505,47,1697,107,63,2326,106,4980,194,17,031,818500,5068,5068,86598,86598,2509,2509,2326,2326,2189,2189,347000,347000,2509,2509,505,505,47,47,1697,1697,107,107,63,63,2326,2326,106,106,4980,4980,194,194,17031818500,0.9411006018916594,0.10017678255745432,0.03895582329317269,0.04557179707652623,0.2200079713033081,34.51494619370267,0.004565236006487601,0.012958337088801907,1.0,True,0.9628569604028311,0.14017191476665572
Census Tract 8186; Cook County; Illinois,4758,102448,2091,1987,1401,387800,2091,24,20,1880,89,70,1987,83,4753,269,17,031,818600,4758,4758,102448,102448,2091,2091,1987,1987,1401,1401,387800,387800,2091,2091,24,24,20,20,1880,1880,89,89,70,70,1987,1987,83,83,4753,4753,269,269,17031818600,0.7050830397584298,0.08457446808510638,0.05659583420997265,0.04177151484650227,0.021042563366810138,48.994739359158295,0.0035328036492520533,0.006205808823830267,1.0,True,0.8763004922215966,0.08147508189950539
Census Tract 8187; Cook County; Illinois,3618,125120,1497,1497,1331,321100,1497,10,496,1679,137,33,1497,27,3618,127,17,031,818700,3618,3618,125120,125120,1497,1497,1497,1497,1331,1331,321100,321100,1497,1497,10,10,496,496,1679,1679,137,137,33,33,1497,1497,27,27,3618,3618,127,127,17031818700,0.8891115564462257,0.10125074449076832,0.03510226644555003,0.018036072144288578,0.3380093520374082,83.58049432197728,0.0018261657322984266,0.037481330954047945,1.0,True,0.9472705544156458,0.1634205695817471
Census Tract 8188; Cook County; Illinois,5524,114614,2181,2165,1996,340100,2181,32,1065,2365,312,42,2165,121,5524,181,17,031,818800,5524,5524,114614,114614,2181,2181,2165,2165,1996,1996,340100,340100,2181,2181,32,32,1065,1065,2365,2365,312,312,42,42,2165,2165,121,121,5524,5524,181,181,17031818800,0.9219399538106235,0.14968287526427063,0.03276611151339609,0.0558891454965358,0.5029802842732691,52.55112333791838,0.00836564799398464,0.039262664222717084,1.0,True,0.9592532622820515,0.2455142839111601
Census Tract 8189; Cook County; Illinois,4595,103389,2033,1965,1255,406900,2033,108,82,1817,74,100,1965,290,4353,275,17,031,818900,4595,4595,103389,103389,2033,2033,1965,1965,1255,1255,406900,406900,2033,2033,108,108,82,82,1817,1817,74,74,100,100,1965,1965,290,290,4353,4353,275,275,17031818900,0.638676844783715,0.0957622454595487,0.06317482196186539,0.1475826972010178,0.09345794392523364,50.85538612887358,0.014132850474946118,0.03376851917909206,1.0,True,0.8512222263153196,0.14368857764390675
Census Tract 8190; Cook County; Illinois,4659,185217,1698,1526,1304,662700,1698,113,699,1582,157,9,1526,100,4587,103,17,031,819000,4659,4659,185217,185217,1698,1698,1526,1526,1304,1304,662700,662700,1698,1698,113,113,699,699,1582,1582,157,157,9,9,1526,1526,100,100,4587,4587,103,103,17031819000,0.854521625163827,0.10493046776232617,0.022454763461957707,0.0655307994757536,0.47820965842167257,109.07950530035336,0.006876177441830025,0.06956916393814633,1.0,True,0.9414289128154246,0.21542939421908516
Census Tract 8191; Cook County; Illinois,4222,47216,2122,1974,1138,237800,2122,63,731,1645,126,37,1974,251,4222,845,17,031,819100,4222,4222,47216,47216,2122,2122,1974,1974,1138,1138,237800,237800,2122,2122,63,63,731,731,1645,1645,126,126,37,37,1974,1974,251,251,4222,4222,845,845,17031819100,0.5764944275582573,0.09908814589665653,0.20014211274277593,0.12715298885511653,0.37417530631479734,22.250706880301603,0.012599353910871728,0.15846532729441268,1.0,True,0.7691896192290465,0.2629595392837535
Census Tract 8192; Cook County; Illinois,6252,95500,2355,2178,1573,265300,2355,260,409,2174,52,4,2178,108,6252,596,17,031,819200,6252,6252,95500,95500,2355,2355,2178,2178,1573,1573,265300,265300,2355,2355,260,260,409,409,2174,2174,52,52,4,4,2178,2178,108,108,6252,6252,596,596,17031819200,0.7222222222222222,0.025758969641214352,0.09532949456174024,0.049586776859504134,0.2840764331210191,40.552016985138,0.0012773042797296374,0.0789101203113942,1.0,True,0.8646812366062103,0.14026150572557047
Census Tract 8193; Cook County; Illinois,2666,106917,1099,1003,907,303200,1099,0,449,976,40,55,1003,11,2665,409,17,031,819300,2666,2666,106917,106917,1099,1099,1003,1003,907,907,303200,303200,1099,1099,0,0,449,449,976,976,40,40,55,55,1003,1003,11,11,2665,2665,409,409,17031819300,0.9042871385842473,0.09733606557377049,0.15347091932457785,0.010967098703888335,0.40855323020928114,97.28571428571429,0.0010674942385956883,0.03910379870397906,1.0,True,0.8993636694648952,0.2185134768180209
Census Tract 8194; Cook County; Illinois,5582,77028,2371,2285,1460,319600,2371,197,253,2434,369,143,2285,159,5582,213,17,031,819400,5582,5582,77028,77028,2371,2371,2285,2285,1460,1460,319600,319600,2371,2371,197,197,253,253,2434,2434,369,369,143,143,2285,2285,159,159,5582,5582,213,213,17031819400,0.6389496717724289,0.21035332785538208,0.03815836617699749,0.06958424507658643,0.18979333614508645,32.48755799240827,0.014637277518164443,0.0685249463105892,1.0,True,0.8624919705353314,0.19544514864730878
Census Tract 8195; Cook County; Illinois,3266,93224,1776,1493,885,329800,1776,33,823,1262,111,12,1493,111,3218,255,17,031,819500,3266,3266,93224,93224,1776,1776,1493,1493,885,885,329800,329800,1776,1776,33,33,823,823,1262,1262,111,111,12,12,1493,1493,111,111,3218,3218,255,255,17031819500,0.5927662424648359,0.09746434231378764,0.07924176507147296,0.07434695244474213,0.481981981981982,52.490990990990994,0.007246176823061238,0.1962793335867683,1.0,True,0.8287255084507538,0.23456834283014708
Census Tract 8196; Cook County; Illinois,4129,213750,1385,1374,1228,601800,1385,10,549,1545,59,9,1374,32,4129,173,17,031,819600,4129,4129,213750,213750,1385,1385,1374,1374,1228,1228,601800,601800,1385,1385,10,10,549,549,1545,1545,59,59,9,9,1374,1374,32,32,4129,4129,173,173,17031819600,0.893740902474527,0.04401294498381877,0.041898764834100266,0.023289665211062592,0.4036101083032491,154.33212996389892,0.0010250467536260558,0.04288724586046168,1.0,True,0.9458173193289715,0.15646703929679573
Census Tract 8197; Cook County; Illinois,5607,227901,1903,1817,1717,762800,1903,19,846,1877,193,37,1817,29,5578,135,17,031,819700,5607,5607,227901,227901,1903,1903,1817,1817,1717,1717,762800,762800,1903,1903,19,19,846,846,1877,1877,193,193,37,37,1817,1817,29,29,5578,5578,135,135,17031819700,0.9449642267473858,0.12253596164091636,0.024202223019003228,0.015960374243258118,0.45454545454545453,119.75880189174987,0.001955719806046546,0.025016260569370098,1.0,True,0.9708159941545214,0.20241959604249232
Census Tract 8198.01; Cook County; Illinois,5082,232716,1637,1637,1508,752200,1637,25,703,1549,261,8,1637,40,5079,54,17,031,819801,5082,5082,232716,232716,1637,1637,1637,1637,1508,1508,752200,752200,1637,1637,25,25,703,703,1549,1549,261,261,8,8,1637,1637,40,40,5079,5079,54,54,17031819801,0.9211973121563837,0.1736604260813428,0.010632014176018901,0.02443494196701283,0.4447159437996335,142.16004886988392,0.004243382433264333,0.035044811698321736,1.0,True,0.9689671985522862,0.22394565176234515
